adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000950123-13-003776	72573	MOVADO GROUP INC	3873	US	NJ	PARAMUS	07652	650 FROM ROAD	SUITE 375	201-267-8000	US	NJ	PARAMUS	07652	650 FROM ROAD	SUITE 375	US	NY	132595932	NORTH AMERICAN WATCH CORP	19930916	2-ACC	0	0131	10-Q	20130430	2014	Q1	20130529	2013-05-29 13:23:00.0	0	1	mov-20130430.xml	1	
0001127855-13-000334	1533427	PAZOO, INC.	5400	US	NJ	CEDAR KNOLLS	07927	15A SADDLE ROAD		(973) 455-0970	US	NJ	CEDAR KNOLLS	07927	15A SADDLE ROAD				273984713			5-SML	0	1231	10-Q	20130331	2013	Q1	20130514	2013-05-14 12:27:00.0	0	1	pzoo-20130331.xml	1	
0001437749-13-005984	1417663	SANUWAVE HEALTH, INC.	3841	US	GA	ALPHARETTA	30022	11475 GREAT OAKS WAY	SUITE 150	678-581-6843	US	GA	ALPHARETTA	30022	11475 GREAT OAKS WAY	SUITE 150	US	NV	201176000	RUB MUSIC ENTERPRISES, INC.	20071106	5-SML	0	1231	10-Q	20130331	2013	Q1	20130514	2013-05-14 17:01:00.0	0	1	snwv-20130331.xml	1	
0001437749-13-006031	1307579	LIQTECH INTERNATIONAL INC	3590	DK		BALLERUP	DK-2750	INDUSTRIPARKEN 22C		01145 2390 4545	DK		BALLERUP	DK-2750	INDUSTRIPARKEN 22C		US	NV	201431677	BLUE MOOSE MEDIA INC	20041101	5-SML	0	1231	10-Q	20130331	2013	Q1	20130515	2013-05-15 09:49:00.0	0	1	liqt-20130331.xml	1	
0001264931-13-000223	1961	WORLDS INC	7372	US	MA	BROOKLINE	02445	11 ROYAL ROAD		617-725-8900	US	MA	BROOKLINE	02445	11 ROYAL ROAD		US	NJ	221848316	WORLDS.COM, INC.	20080521	5-SML	0	1231	10-K	20121231	2012	FY	20130415	2013-04-15 15:31:00.0	1	1	wddd-20121231.xml	1	
0001493152-13-001264	1463792	CELLDONATE INC.	4899	US	NV	LAS VEGAS	89147	8665 WEST FLAMINGO ROAD	SUITE 131-200	(650)938-3325	US	NV	LAS VEGAS	89147	8665 WEST FLAMINGO ROAD	SUITE 131-200	US	NV	000000000			5-SML	0	0331	10-K	20130331	2012	FY	20130628	2013-06-28 06:38:00.0	0	1	ceac-20130331.xml	1	
0001295345-13-000064	1494162	SOLARFLEX CORP	3674	IL		RAMAT GAN	52506	12 ABBA HILLEL SILVER STREET	FLOOR 11	972-8-936-0996	IL		RAMAT GAN	52506	12 ABBA HILLEL SILVER STREET	FLOOR 11	US	DE	421771817			5-SML	0	1231	10-Q	20130331	2013	Q1	20130502	2013-05-02 14:50:00.0	0	0	sfex-20130331.xml	1	
0001284807-13-000013	1284807	PLY GEM HOLDINGS INC	2430	US	NC	CARY	27513	5020 WESTON PARKWAY	SUITE 400	919-677-3900	US	NC	CARY	27513	5020 WESTON PARKWAY	SUITE 400	US	DE	200645710			4-NON	0	1231	10-Q	20130331	2013	Q1	20130510	2013-05-10 14:04:00.0	0	1	pgem-20130330.xml	1	
0001104659-13-031652	1509223	RENREN INC.	7374	CN		BEIJNG	100028	23/F, Jing An Center	8 North Third Ring Road East	86 (10) 8448-1818	CN		BEIJNG	100028	23/F, Jing An Center	8 North Third Ring Road East			000000000			2-ACC	0	1231	20-F	20121231	2012	FY	20130423	2013-04-23 16:32:00.0	0	1	renn-20121231.xml	1	
0001104659-13-030627	928465	AMCON DISTRIBUTING CO	5141	US	NE	OMAHA	68122	7405 IRVINGTON ROAD	POST OFFICE BOX 641940 (68164-7940)	4023313727	US	NE	OMAHA	68122	7405 IRVINGTON ROAD	POST OFFICE BOX 641940 (68164-7940)	US	DE	470702918			5-SML	0	0930	10-Q	20130331	2013	Q2	20130418	2013-04-18 16:04:00.0	0	1	dit-20130331.xml	1	
0001477932-13-002401	1533311	OLIE INC	7389	CA	BC	VANCOUVER	V6C0A6	300-838 HASTINGS STREET		604-828-9999	CA	BC	VANCOUVER	V6C0A6	300-838 HASTINGS STREET		US	DE	331220056			5-SML	0	0930	10-Q	20130331	2013	Q2	20130515	2013-05-15 06:47:00.0	0	1	oli-20130331.xml	1	
0001104659-13-038928	1041024	ROCKWELL MEDICAL, INC.	3845	US	MI	WIXOM	48393	30142 S WIXOM RD		2489609009	US	MI	WIXOM	48393	30142 S WIXOM RD		US	MI	383317208	ROCKWELL MEDICAL TECHNOLOGIES INC	20120530	2-ACC	0	1231	10-Q	20130331	2013	Q1	20130508	2013-05-08 17:01:00.0	0	1	rmti-20130331.xml	1	
0001104659-13-041169	746514	NEW ENGLAND REALTY ASSOCIATES LIMITED PARTNERSHIP	6513	US	MA	ALLSTON	02134	39 BRIGHTON AVE		6177830039	US	MA	ALLSTON	02134	39 BRIGHTON AVE		US	MA	042619298			5-SML	0	1231	10-Q	20130331	2013	Q1	20130514	2013-05-14 11:26:00.0	0	1	nen-20130331.xml	1	
