adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001144204-17-020749	1089531	KINGOLD JEWELRY, INC.	7389	US	NY	NEW YORK	10019	888C 8TH AVE, #106	58TH FLOOR	(212) 509-1700	US	NY	NEW YORK	10019	888C 8TH AVE, #106	58TH FLOOR	US	DE	133883101	ACTIVEWORLDS CORP	20070725	5-SML	0	1231	10-K	20161231	2016	FY	20170417	2017-04-17 17:12:00.0	1	1	kgji-20161231.xml	1	
0001144204-17-027596	1586554	CHESS SUPERSITE CORP	7900	CA	ON	TORONTO	M3C 3L8	1131A LESLIE STREET	SUITE 201	647-927-4644	CA	ON	TORONTO	M3C 3L8	1131A LESLIE STREET	SUITE 201	US	DE	463610035	RIVER RUN ACQUISITION CORP	20130911	5-SML	0	1231	10-Q	20170331	2017	Q1	20170515	2017-05-15 17:02:00.0	0	1	chzp-20170331.xml	1	
0001144204-17-024867	1479247	UNITED STATES COMMODITY INDEX FUNDS TRUST	6221	US	CA	OAKLAND	94612	1999 HARRISON STREET	SUITE 1530	510-522-9600	US	DE	WILMINGTON	19801	C/O CSC	1209 ORANGE STREET			000000000			2-ACC	0	1231	10-Q	20170331	2017	Q1	20170505	2017-05-05 16:35:00.0	0	1	usci-20170331.xml	1	
0001193125-17-123411	862692	CRYO CELL INTERNATIONAL INC	8090	US	FL	OLDSMAR	34677	700 BROOKER CREEK BLVD	SUITE 1800	813-749-2104	US	FL	OLDSMAR	34677	700 BROOKER CREEK BLVD	SUITE 1800	US	DE	223023093			5-SML	0	1130	10-Q	20170228	2017	Q1	20170413	2017-04-13 17:20:00.0	0	1	ccel-20170228.xml	1	
0001193125-17-164021	1468328	ADDUS HOMECARE CORP	8082	US	TX	FRISCO	75034	6801 GAYLORD PARKWAY	SUITE 110	469-535-8200	US	TX	FRISCO	75034	6801 GAYLORD PARKWAY	SUITE 110	US	DE	205340172			2-ACC	0	1231	10-Q	20170331	2017	Q1	20170509	2017-05-09 15:14:00.0	0	1	adus-20170331.xml	1	
0001193125-17-132674	1334478	NCI, INC.	7373	US	VA	RESTON	20190	11730 PLAZA AMERICA DRIVE		(703) 707-6900	US	VA	RESTON	20190	11730 PLAZA AMERICA DRIVE		US	DE	203211574			2-ACC	0	1231	10-Q/A	20160930	2016	Q3	20170421	2017-04-21 16:50:00.0	0	1	ncit-20160930.xml	1	
0001193125-17-167212	749660	ICAD INC	3841	US	NH	NASHUA	03062	98 SPIT BROOK ROAD, SUITE 100		603-882-5200	US	NH	NASHUA	03062	98 SPIT BROOK ROAD, SUITE 100		US	DE	020377419	HOWTEK INC	19920703	5-SML	0	1231	10-Q	20170331	2017	Q1	20170511	2017-05-11 15:27:00.0	0	1	icad-20170331.xml	1	
0001096906-17-000319	1098996	ORANCO INC	9995	US	UT	SALT LAKE CITY	84117	1981 E. MURRAY HOLLADAY RD.	SUITE 100	8012729294	US	UT	SALT LAKE CITY	84117	1981 E. MURRAY HOLLADAY RD.	SUITE 100	US	NV	870574491			5-SML	0	1231	10-Q	20170331	2017	Q1	20170510	2017-05-09 19:19:00.0	0	1	ornc-20170331.xml	1	
0001193125-17-215528	769594	NIPPON TELEGRAPH & TELEPHONE CORP	4813	JP		TOKYO JAPAN	100-8116	OTEMACHI FIRST SQUARE, EAST TOWER, 5-1	OTEMACHI 1-CHOME, CHIYODA-KU	2126610810	US	NY	NEW YORK	10017	C/O NTT AMERICA, INC. 757 THIRD AVENUE		JP		000000000			1-LAF	1	0331	20-F	20170331	2016	FY	20170628	2017-06-28 06:24:00.0	0	1	ntt-20170331.xml	1	
0001654954-17-004744	1351901	COMMONWEALTH INCOME & GROWTH FUND VI	7350	US	FL	CLEARWATER	33755	400 CLEVELAND STREET	7TH FLOOR	1-877-654-1500	US	FL	CLEARWATER	33755	400 CLEVELAND STREET	7TH FLOOR	US	PA	204115433			5-SML	0	1231	10-Q	20170331	2017	Q1	20170515	2017-05-15 16:07:00.0	0	1	fil-20170331.xml	1	
