adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000002178-20-000057	2178	ADAMS RESOURCES & ENERGY, INC.	5172	US	TX	HOUSTON	77027	17 S. BRIAR HOLLOW LN.		713-881-3600	US	TX	HOUSTON	77001	P O BOX 844		US	DE	741753147	ADAMS RESOURCES & ENERGY INC	19920703	2-ACC	0	1231	10-Q	20200331	2020	Q1	20200507	2020-05-07 16:31:00.0	0	1	ae-20200331_htm.xml	1	
0000002488-20-000051	2488	ADVANCED MICRO DEVICES INC	3674	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		(408) 749-4000	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		US	DE	941692300			1-LAF	0	1231	10-Q	20200331	2020	Q1	20200429	2020-04-29 16:33:00.0	0	1	amdq1fy2010q_htm.xml	1	
0000002969-20-000019	2969	AIR PRODUCTS & CHEMICALS INC /DE/	2810	US	PA	ALLENTOWN	18195-1501	7201 HAMILTON BLVD		6104814911	US	PA	ALLENTOWN	18195-1501	7201 HAMILTON BLVD		US	DE	231274455			1-LAF	0	0930	10-Q	20200331	2020	Q2	20200423	2020-04-23 12:20:00.0	0	1	apd-10qx31mar20_htm.xml	1	
0000003499-20-000015	3499	ALEXANDERS INC	6798	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		201-587-8541	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		US	DE	510100517			1-LAF	0	1231	10-Q	20200331	2020	Q1	20200504	2020-05-04 08:18:00.0	0	1	alx10-q33120_htm.xml	1	
0000003545-20-000065	3545	ALICO, INC.	0100	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		239-226-2000	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		US	FL	590906081	ALICO INC	19920703	2-ACC	0	0930	10-Q	20200331	2020	Q2	20200511	2020-05-11 08:34:00.0	0	1	alco-33120x10q_htm.xml	1	
0000003570-20-000062	3570	CHENIERE ENERGY INC	4924	US	TX	HOUSTON	77002	700 MILAM ST.	SUITE 1900	7133755000	US	TX	HOUSTON	77002	700 MILAM ST.	SUITE 1900	US	DE	954352386	CHENIERE ENERGY INC	19960827	1-LAF	0	1231	10-Q	20200331	2020	Q1	20200430	2020-04-29 17:50:00.0	0	1	cei2020form10q1stqtr_htm.xml	1	
0000004127-20-000027	4127	SKYWORKS SOLUTIONS INC	3674	US	MA	WOBURN	01801	20 SYLVAN ROAD		6179355150	US	MA	WOBURN	01801	20 SYLVAN ROAD	20 SYLVAN ROAD	US	DE	042302115	SKYWORKS SOLUTIONS INC	20020627	1-LAF	0	0930	10-Q	20200331	2020	Q1	20200505	2020-05-04 17:35:00.0	0	1	q22010qmarch272020_htm.xml	1	
0000004281-20-000109	4281	HOWMET AEROSPACE INC.	3350	US	PA	PITTSBURGH	15212-5872	201 ISABELLA STREET	SUITE 200	(412) 553-1940	US	PA	PITTSBURGH	15212-5872	201 ISABELLA STREET		US	DE	250317820	ARCONIC INC.	20161101	1-LAF	0	1231	10-Q	20200331	2020	Q1	20200507	2020-05-07 09:14:00.0	0	1	arnc-20200331_htm.xml	1	
0000004457-20-000053	4457	AMERCO /NV/	7510	US	NV	RENO	89511	5555 KIETZKE LANE STE 100		7756886300	US	NV	RENO	89511	5555 KIETZKE LANE	SUITE 100	US	NV	880106815	AMERCO	19770926	1-LAF	1	0331	10-K	20200331	2019	FY	20200527	2020-05-27 16:21:00.0	0	1	uhal-20200331_htm.xml	1	
0000004904-20-000046	4904	AMERICAN ELECTRIC POWER CO INC	4911	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		614-716-1000	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		US	NY	134922640	KINGSPORT UTILITIES INC	19660906	1-LAF	0	1231	10-Q	20200331	2020	Q1	20200506	2020-05-06 07:19:00.0	0	1	aep20201q10q_htm.xml	8	81027 73986 92487 1702494 50172 6879 1721781
0000004962-20-000054	4962	AMERICAN EXPRESS CO	6199	US	NY	NEW YORK	10285	200 VESEY STREET	50TH FLOOR	2126402000	US	NY	NEW YORK	10285	200 VESEY STREET	50TH FLOOR	US	NY	134922250			1-LAF	0	1231	10-Q	20200331	2020	Q1	20200424	2020-04-24 15:51:00.0	0	1	axp-20200331_htm.xml	1	
