adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000002178-24-000076	2178	ADAMS RESOURCES & ENERGY, INC.	5172	US	TX	HOUSTON	77027	17 S. BRIAR HOLLOW LN.		713-881-3600	US	TX	HOUSTON	77001	P O BOX 844		US	DE	741753147	ADAMS RESOURCES & ENERGY INC	19920703	2-ACC	0	1231	10-Q	20240630	2024	Q2	20240807	2024-08-07 17:20:00.0	0	1	ae-20240630_htm.xml	1	
0000002488-24-000123	2488	ADVANCED MICRO DEVICES INC	3674	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		(408) 749-4000	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		US	DE	941692300			1-LAF	0	1231	10-Q	20240630	2024	Q2	20240731	2024-07-31 16:20:00.0	0	1	amd-20240629_htm.xml	1	
0000002969-24-000043	2969	AIR PRODUCTS & CHEMICALS, INC.	2810	US	PA	ALLENTOWN	18106-5500	1940 AIR PRODUCTS BLVD.		6104814911	US	PA	ALLENTOWN	18106-5500	1940 AIR PRODUCTS BLVD.		US	DE	231274455	AIR PRODUCTS & CHEMICALS, INC.	20220408	1-LAF	0	0930	10-Q	20240630	2024	Q3	20240801	2024-08-01 14:13:00.0	0	1	apd-20240630_htm.xml	1	
0000003499-24-000030	3499	ALEXANDERS INC	6798	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		201-587-8541	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		US	DE	510100517			2-ACC	0	1231	10-Q	20240630	2024	Q2	20240805	2024-08-05 08:31:00.0	0	1	alx-20240630_htm.xml	1	
0000003545-24-000099	3545	ALICO, INC.	0100	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		239-226-2000	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		US	FL	590906081	ALICO INC	19920703	2-ACC	0	0930	10-Q	20240630	2024	Q3	20240805	2024-08-05 16:05:00.0	0	1	alco-20240630_htm.xml	1	
0000003570-24-000095	3570	CHENIERE ENERGY INC	4924	US	TX	HOUSTON	77002	845 TEXAS AVENUE	SUITE 1250	7133755000	US	TX	HOUSTON	77002	845 TEXAS AVENUE	SUITE 1250	US	DE	954352386	CHENIERE ENERGY INC	19960827	1-LAF	0	1231	10-Q	20240630	2024	Q2	20240808	2024-08-07 17:40:00.0	0	1	lng-20240630_htm.xml	1	
0000004127-24-000070	4127	SKYWORKS SOLUTIONS INC	3674	US	CA	IRVINE	92617	5260 CALIFORNIA AVENUE		9492313000	US	CA	IRVINE	92617	5260 CALIFORNIA AVENUE		US	DE	042302115	SKYWORKS SOLUTIONS INC	20020627	1-LAF	0	0930	10-Q	20240630	2024	Q3	20240731	2024-07-30 17:57:00.0	0	1	swks-20240628_htm.xml	1	
0000004281-24-000026	4281	HOWMET AEROSPACE INC.	3350	US	PA	PITTSBURGH	15212-5872	201 ISABELLA STREET	SUITE 200	(412) 553-1940	US	PA	PITTSBURGH	15212-5872	201 ISABELLA STREET		US	DE	250317820	ARCONIC INC.	20161101	1-LAF	0	1231	10-Q	20240630	2024	Q2	20240730	2024-07-30 17:18:00.0	0	1	hwm-20240630_htm.xml	1	
0000004904-24-000081	4904	AMERICAN ELECTRIC POWER CO INC	4911	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		614-716-1000	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		US	NY	134922640	KINGSPORT UTILITIES INC	19660906	1-LAF	0	1231	10-Q	20240630	2024	Q2	20240730	2024-07-30 07:19:00.0	0	1	aep-20240630_htm.xml	8	81027 73986 92487 1702494 50172 1721781 6879
0000004962-24-000052	4962	AMERICAN EXPRESS CO	6199	US	NY	NEW YORK	10285	200 VESEY STREET	50TH FLOOR	2126402000	US	NY	NEW YORK	10285	200 VESEY STREET	50TH FLOOR	US	NY	134922250			1-LAF	0	1231	10-Q	20240630	2024	Q2	20240719	2024-07-19 13:19:00.0	0	1	axp-20240630_htm.xml	1	
