adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001144204-12-020496	1159275	KIWA BIO-TECH PRODUCTS GROUP CORP	2870	US	CA	CLAREMONT	91711	415 W. FOOTHILL BOULEVARD	SUITE 206	909-626-2358	US	CA	CLAREMONT	91711	415 W. FOOTHILL BOULEVARD	SUITE 206	US	DE	870448400	TINTIC GOLD MINING  CO	20010918	5-SML	0	1231	10-K	20111231	2011	FY	20120406	2012-04-06 11:08:00.0	0	0	kwbt-20111231.xml	1	
0001201135-12-000007	1201135	CREDIT ONE FINANCIAL INC	6153	US	NY	NEW YORK	10005	80 WALL STREET	SUITE 818	212-809-1200	US	NY	NEW YORK	10005	80 WALL STREET	SUITE 818	US	FL	593641205			4-NON	0	1231	10-Q	20120331	2012	Q1	20120514	2012-05-14 06:57:00.0	0	0	cofi-20120331.xml	1	
0001387131-12-001181	1311735	FRONTIER BEVERAGE COMPANY, INC	2080	US	TN	MEMPHIS	38113	1837 HARBOR AVENUE	P.O. BOX 13311	901-947-4111	US	TN	MEMPHIS	38113	1837 HARBOR AVENUE	P.O. BOX 13311	US	NV	061678089	ASSURE DATA INC	20041216	5-SML	0	1231	10-K	20111231	2011	FY	20120416	2012-04-16 17:28:00.0	0	0	fbec-20111231.xml	1	
0001072613-12-000411	814586	LIFEWAY FOODS INC	2020	US	IL	MORTON GROVE	60053	6431 W OAKTON		7089671010	US	IL	MORTON GROVE	60053	6431 W OAKTON		US	IL	363442829			5-SML	0	1231	10-Q	20120331	2012	Q1	20120515	2012-05-15 15:14:00.0	0	0	lway-20120331.xml	1	
0000947986-12-000083	1312910	ICON LEASING FUND ELEVEN, LLC	7359	US	NY	NEW YORK	10011	100 FIFTH AVENUE	4TH FLOOR	2124184700	US	NY	NEW YORK	10011	100 FIFTH AVENUE	4TH FLOOR	US	DE	201979428	ICON LEASING FUND ELEVEN, LLC	20041228	5-SML	0	1231	10-Q	20120331	2012	Q1	20120515	2012-05-15 17:03:00.0	0	0	icof-20120331.xml	1	
0001188112-12-001595	911649	STRATEGIC DIAGNOSTICS INC/DE/	2890	US	DE	NEWARK	19702	111 PENCADER DR		3024566789	US	DE	NEWARK	19702	111 PENCADER DR		US	DE	561581761	ENSYS ENVIRONMENTAL PRODUCTS INC /DE/	19930907	5-SML	0	1231	10-Q	20120331	2012	Q1	20120514	2012-05-14 14:23:00.0	0	0	sdix-20120331.xml	1	
0001213900-12-001933	1454311	JINMIMI NETWORK INC	7389	CN		GUANGDONG	518051	6G W BLDG CHANGXING PLAZA CHANGXING RD	NABSHAN DISTRICT SHENZHEN	86 755 8340 6503	CN		GUANGDONG	518051	6G W BLDG CHANGXING PLAZA CHANGXING RD	NABSHAN DISTRICT SHENZHEN	US	NV	000000000			5-SML	0	1231	10-K/A	20111231	2011	FY	20120418	2012-04-17 18:07:00.0	0	0	jinm-20111231.xml	1	
0001193805-12-000858	1368514	ADMA BIOLOGICS, INC.	6770	US	NJ	HACKENSACK	07601	65 COMMERCE WAY		(201) 478-5552	US	NJ	HACKENSACK	07601	65 COMMERCE WAY		US	DE	562590442	R&R ACQUISITION VI, INC	20060707	5-SML	0	1231	S-1/A	20111231			20120508	2012-05-08 17:23:00.0	1	0	adma-20111231.xml	1	
0001038838-12-000149	1093430	CASPIAN SERVICES INC	1311	US	UT	SALT LAKE CITY	84109	2319 FOOTHILL BOULEVARD	SUITE 160	801-746-3700	US	UT	SALT LAKE CITY	84109	2319 FOOTHILL BOULEVARD	SUITE 160	US	NV	870617371	EMPS CORP	19990818	5-SML	0	0930	10-Q	20120331	2012	Q2	20120521	2012-05-21 12:41:00.0	0	0	cssv-20120331.xml	1	
0001185185-12-000954	1429592	GUARDIAN 8 HOLDINGS	7381	US	AZ	SCOTTSDALE	85260	15230 N. 75TH STREET	SUITE 1002	9133178887	US	AZ	SCOTTSDALE	85260	15230 N. 75TH STREET	SUITE 1002			260674103	GLOBAL RISK MANAGEMENT & INVESTIGATIVE SOLUTIONS	20080312	5-SML	0	1231	10-Q	20120331	2012	Q1	20120510	2012-05-10 11:52:00.0	0	0	grdh-20120331.xml	1	
