adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001185185-11-000487	1077688	HOOKER FURNITURE CORP	2510	US	VA	MARTINSVILLE	24112	440 E COMMONWEALTH BLVD		5406322133	US	VA	MARTINSVILLE	24112	440 E COMMONWEALTH BLVD		US	VA	540251350			2-ACC	0	0131	10-K	20110131	2010	FY	20110413	2011-04-13 16:47:00.0	0	0	hoft-20110130.xml	1	
0000726728-11-000034	726728	REALTY INCOME CORP	6798	US	CA	ESCONDIDO	92025	600 LA TERRAZA BLVD		7607412111	US	CA	ESCONDIDO	92025	600 LA TERRAZA BLVD		US	MD	330580106			1-LAF	1	1231	10-Q	20110331	2011	Q1	20110428	2011-04-28 17:28:00.0	0	0	o-20110331.xml	1	
0001140361-11-025542	1301063	ALPHA NATURAL RESOURCES, INC.	1221	US	VA	ABINGDON	24212	ONE ALPHA PLACE	P.O. BOX 2345	276-619-4410	US	VA	ABINGDON	24212	ONE ALPHA PLACE	P.O. BOX 2345	US	DE	421638663	FOUNDATION COAL HOLDINGS, INC.	20040819	1-LAF	1	1231	10-Q	20110331	2011	Q1	20110506	2011-05-06 13:12:00.0	1	0	anr-20110331.xml	1	
0001157523-11-002989	37996	FORD MOTOR CO	3711	US	MI	DEARBORN	48126	ONE AMERICAN ROAD		3133223000	US	MI	DEARBORN	48126	ONE AMERICAN RD		US	DE	380549190			1-LAF	1	1231	10-Q	20110331	2011	Q1	20110510	2011-05-10 16:47:00.0	0	1	f-20110331.xml	1	
0001023175-11-000253	1028394	VOYAGER ENTERTAINMENT INTERNATIONAL INC	3590	US	NV	LAS VEGAS	89118	4483 WEST RENO AVENUE		7022218070	US	NV	LAS VEGAS	89118	4483 WEST RENO AVENUE		US	NV	450420093	DAKOTA IMAGING INC	20010208	5-SML	0	1231	10-Q	20110331	2011	Q1	20110510	2011-05-10 15:02:00.0	0	0	veii-20110331.xml	1	
0001047469-11-004712	1045309	W R GRACE & CO	2800	US	MD	COLUMBIA	21044	7500 GRACE DRIVE		410 531 4000	US	MD	COLUMBIA	21044	7500 GRACE DRIVE		US	DE	650773649	GRACE SPECIALTY CHEMICALS INC	19970902	1-LAF	0	1231	10-Q	20110331	2011	Q1	20110506	2011-05-06 15:33:00.0	0	0	gra-20110331.xml	1	
0001104659-11-025076	765880	HCP, INC.	6798	US	CA	LONG BEACH	90806	3760 KILROY AIRPORT WAY	SUITE 300	562-733-5100	US	CA	LONG BEACH	90806	3760 KILROY AIRPORT WAY	SUITE 300	US	MD	330091377	HEALTH CARE PROPERTY INVESTORS INC	19920703	1-LAF	0	1231	10-Q	20110331	2011	Q1	20110503	2011-05-03 08:34:00.0	0	1	hcp-20110331.xml	1	
0001104659-11-027181	820313	AMPHENOL CORP /DE/	3678	US	CT	WALLINGFORD	06492	358 HALL AVE		2032658900							US	DE	222785165			1-LAF	0	1231	10-Q	20110331	2011	Q1	20110509	2011-05-09 11:45:00.0	0	1	aph-20110331.xml	1	
0000796343-11-000010	796343	ADOBE SYSTEMS INC	7372	US	CA	SAN JOSE	95110-2704	345 PARK AVE		4085366000	US	CA	SAN JOSE	95110-2704	345 PARK AVENUE		US	DE	770019522			1-LAF	1	1130	10-Q	20110531	2011	Q2	20110629	2011-06-29 16:43:00.0	0	1	adbe-20110603.xml	1	
0001193125-11-134173	1057758	TW TELECOM INC.	4813	US	CO	LITTLETON	80124	10475 PARK MEADOWS DRIVE		3035661000	US	CO	LITTLETON	80124	10475 PARK MEADOWS DRIVE		US	DE	841500624	TIME WARNER TELECOM INC	19980313	1-LAF	0	1231	10-Q	20110331	2011	Q1	20110510	2011-05-10 16:03:00.0	1	0	twtc-20110331.xml	1	
0001193125-11-155517	874761	AES CORP	4991	US	VA	ARLINGTON	22203	4300 WILSON BOULEVARD		7035221315	US	VA	ARLINGTON	22203	4300 WILSON BOULEVARD		US	DE	541163725	AES CORPORATION	19930328	1-LAF	1	1231	8-K	20101231	2010	FY	20110601	2011-06-01 08:07:00.0	1	1	aes-20101231.xml	1	
0001193125-11-134220	1424454	ROVI CORP	2721	US	CA	SANTA CLARA	95050	C/O ROVI ROVI CORPORATION	2830 DE LA CRUZ BOULEVARD	408-562-8400	US	CA	SANTA CLARA	95050	C/O ROVI ROVI CORPORATION	2830 DE LA CRUZ BOULEVARD	US	DE	261739297	MACROVISION SOLUTIONS CORP	20080118	1-LAF	1	1231	10-Q	20110331	2011	Q1	20110510	2011-05-10 16:16:00.0	0	0	rovi-20110331.xml	1	
0001193125-11-134288	55067	KELLOGG CO	2040	US	MI	BATTLE CREEK	49016-3599	ONE KELLOGG SQ	P O BOX 3599	2699612000	US	MI	BATTLE CREEK	49016-3599	ONE KELLOGG SQUARE	P O BOX 3599	US	DE	380710690			1-LAF	0	1231	10-Q	20110331	2011	Q1	20110510	2011-05-10 16:34:00.0	0	1	k-20110402.xml	1	
0000950123-11-039103	89800	SHERWIN WILLIAMS CO	5200	US	OH	CLEVELAND	44115	101 PROSPECT AVE NW		2165662200							US	OH	340526850			1-LAF	1	1231	10-Q	20110331	2011	Q1	20110426	2011-04-26 12:16:00.0	0	1	shw-20110331.xml	1	
0000950123-11-040014	949039	DIAMOND OFFSHORE DRILLING INC	1381	US	TX	HOUSTON	77094	15415 KATY FREEWAY		7134925300	US	TX	HOUSTON	77094	15415 KATY FREEWAY		US	DE	760321760			1-LAF	1	1231	10-Q	20110331	2011	Q1	20110427	2011-04-27 15:46:00.0	0	1	do-20110331.xml	1	
0000950123-11-057257	746598	BRADY CORP	3990	US	WI	MILWAUKEE	53201-0571	6555 W GOOD HOPE RD	P O BOX 571	4143586600							US	WI	390178960	BRADY W H CO	19920703	1-LAF	1	0731	10-Q	20110430	2011	Q3	20110607	2011-06-07 16:01:00.0	0	0	brc-20110430.xml	1	
0000950123-11-062607	1144215	ACUITY BRANDS INC	3640	US	GA	ATLANTA	30309-7676	1170 PEACHTREE STREET, NE	SUITE 2400	404-853-1400	US	GA	ATLANTA	30309-7676	1170 PEACHTREE STREET, NE	SUITE 2400	US	DE	582632672	L&C SPINCO INC	20010629	1-LAF	1	0831	10-Q	20110531	2011	Q3	20110629	2011-06-29 08:35:00.0	0	0	ayi-20110531.xml	1	
0000950123-11-046606	310522	FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE	6111	US	DC	WASHINGTON	20016	3900 WISCONSIN AVE N.W.		202-752-7000	US	DC	WASHINGTON	20016	3900 WISCONSIN AVE N.W.				520883107	FEDERAL NATIONAL MORTGAGE ASSOCIATION	19950110	2-ACC	1	1231	10-Q	20110331	2011	Q1	20110506	2011-05-06 16:06:00.0	0	0	fnm-20110331.xml	1	
0000950123-11-047247	55242	KENNAMETAL INC	3541	US	PA	LATROBE	15650	1600 TECHNOLOGY WAY	P O  BOX 231	7245395000	US	PA	LATROBE	15650	1600 TECHNOLOGY WAY	PO BOX 231	US	PA	250900168			1-LAF	1	0630	10-Q	20110331	2011	Q3	20110509	2011-05-09 13:45:00.0	0	0	kmt-20110331.xml	1	
0000930413-11-003792	1022079	QUEST DIAGNOSTICS INC	8071	US	NJ	MADISON	07940	3 GIRALDA FARMS		9735202700	US	NJ	MADISON	07940	3 GIRALDA FARMS		US	DE	161387862	CORNING CLINICAL LABORATORIES INC	19960903	1-LAF	0	1231	10-Q	20110331	2011	Q1	20110510	2011-05-09 18:09:00.0	0	1	dgx-20110331.xml	1	
0000702325-11-000025	702325	FIRST MIDWEST BANCORP INC	6021	US	IL	ITASCA	60143	ONE PIERCE PLACE	SUITE 1500	6308757450	US	IL	ITASCA	60143	ONE PIERCE PLACE	SUITE 1500	US	DE	363161078			1-LAF	0	1231	10-Q	20110331	2011	Q1	20110506	2011-05-06 16:26:00.0	0	0	fmbi-20110331.xml	1	
0001354488-11-001551	1467761	ZOOM TELEPHONICS, INC.	3661	US	MA	BOSTON	02111	207 SOUTH STREET		617-423-1072	US	MA	BOSTON	02111	207 SOUTH STREET		US	DE	042621506			5-SML	0	1231	10-Q	20110331	2011	Q1	20110516	2011-05-16 11:15:00.0	0	0	zmtp-20110331.xml	1	
0001001604-11-000051	1001604	EMERITUS CORP\WA\	8050	US	WA	SEATTLE	98121	3131 ELLIOTT AVENUE	SUITE 500	2062982909	US	WA	SEATTLE	98121	3131 ELLIOTT AVE STE 500		US	WA	911605464			2-ACC	0	1231	10-Q	20110331	2011	Q1	20110506	2011-05-06 12:32:00.0	0	0	esc-20110331.xml	1	
0001140361-11-026158	927628	CAPITAL ONE FINANCIAL CORP	6022	US	VA	MCLEAN	22102	1680 CAPITAL ONE DRIVE	SUITE 1400	7037201000	US	VA	MCLEAN	22102	1680 CAPITAL ONE DRIVE	SUITE 1400	US	DE	541719854	OAKSTONE FINANCIAL CORP	19940728	1-LAF	1	1231	10-Q	20110331	2011	Q1	20110510	2011-05-10 10:44:00.0	0	1	cof-20110331.xml	1	
