adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000002178-20-000135	2178	ADAMS RESOURCES & ENERGY, INC.	5172	US	TX	HOUSTON	77027	17 S. BRIAR HOLLOW LN.		713-881-3600	US	TX	HOUSTON	77001	P O BOX 844		US	DE	741753147	ADAMS RESOURCES & ENERGY INC	19920703	2-ACC	0	1231	10-Q	20200930	2020	Q3	20201105	2020-11-05 16:39:00.0	0	1	ae-20200930_htm.xml	1	
0000002488-20-000164	2488	ADVANCED MICRO DEVICES INC	3674	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		(408) 749-4000	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		US	DE	941692300			1-LAF	0	1231	10-Q	20200930	2020	Q3	20201028	2020-10-28 16:59:00.0	0	1	amd-20200926_htm.xml	1	
0000002969-20-000049	2969	AIR PRODUCTS & CHEMICALS INC /DE/	2810	US	PA	ALLENTOWN	18195-1501	7201 HAMILTON BLVD		6104814911	US	PA	ALLENTOWN	18195-1501	7201 HAMILTON BLVD		US	DE	231274455			1-LAF	1	0930	10-K	20200930	2020	FY	20201119	2020-11-19 15:29:00.0	0	1	apd-20200930_htm.xml	1	
0000003499-20-000034	3499	ALEXANDERS INC	6798	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		201-587-8541	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		US	DE	510100517			1-LAF	0	1231	10-Q	20200930	2020	Q3	20201102	2020-11-02 08:13:00.0	0	1	alx-20200930_htm.xml	1	
0000003570-20-000103	3570	CHENIERE ENERGY INC	4924	US	TX	HOUSTON	77002	700 MILAM ST.	SUITE 1900	7133755000	US	TX	HOUSTON	77002	700 MILAM ST.	SUITE 1900	US	DE	954352386	CHENIERE ENERGY INC	19960827	1-LAF	0	1231	10-Q	20200930	2020	Q3	20201106	2020-11-05 17:45:00.0	0	1	lng-20200930_htm.xml	1	
0000004127-20-000058	4127	SKYWORKS SOLUTIONS INC	3674	US	CA	IRVINE	92617	5260 CALIFORNIA AVENUE		9492313000	US	CA	IRVINE	92617	5260 CALIFORNIA AVENUE		US	DE	042302115	SKYWORKS SOLUTIONS INC	20020627	1-LAF	1	0930	10-K	20200930	2020	FY	20201117	2020-11-16 20:05:00.0	0	1	swks-20201002_htm.xml	1	
0000004281-20-000185	4281	HOWMET AEROSPACE INC.	3350	US	PA	PITTSBURGH	15212-5872	201 ISABELLA STREET	SUITE 200	(412) 553-1940	US	PA	PITTSBURGH	15212-5872	201 ISABELLA STREET		US	DE	250317820	ARCONIC INC.	20161101	1-LAF	0	1231	10-Q	20200930	2020	Q3	20201109	2020-11-09 16:45:00.0	0	1	arnc-20200930_htm.xml	1	
0000004457-20-000091	4457	AMERCO /NV/	7510	US	NV	RENO	89511	5555 KIETZKE LANE STE 100		7756886300	US	NV	RENO	89511	5555 KIETZKE LANE	SUITE 100	US	NV	880106815	AMERCO	19770926	1-LAF	0	0331	10-Q	20200930	2021	Q2	20201104	2020-11-04 16:30:00.0	0	1	uhal-20200930_htm.xml	1	
0000004904-20-000084	4904	AMERICAN ELECTRIC POWER CO INC	4911	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		614-716-1000	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		US	NY	134922640	KINGSPORT UTILITIES INC	19660906	1-LAF	0	1231	10-Q	20200930	2020	Q3	20201022	2020-10-22 07:06:00.0	0	1	aep-20200930_htm.xml	8	81027 73986 92487 1702494 50172 6879 1721781
0000004962-20-000098	4962	AMERICAN EXPRESS CO	6199	US	NY	NEW YORK	10285	200 VESEY STREET	50TH FLOOR	2126402000	US	NY	NEW YORK	10285	200 VESEY STREET	50TH FLOOR	US	NY	134922250			1-LAF	0	1231	10-Q	20200930	2020	Q3	20201023	2020-10-23 12:01:00.0	0	1	axp-20200930_htm.xml	1	
