adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001144204-17-015232	1563665	BIOSTAGE, INC.	3841	US	MA	HOLLISTON	01746	84 OCTOBER HILL ROAD	SUITE 11	(774) 233-7300	US	MA	HOLLISTON	01746	84 OCTOBER HILL ROAD	SUITE 11	US	DE	455210462	HARVARD APPARATUS REGENERATIVE TECHNOLOGY, INC.	20121204	5-SML	0	1231	10-K	20161231	2016	FY	20170317	2017-03-16 21:49:00.0	0	1	bstg-20161231.xml	1	
0001181749-17-000003	1181749	GRANITE FALLS ENERGY, LLC	2860	US	MN	GRANITE FALLS	56241-0216	15045 HIGHWAY 23 S.E.		320-564-3100	US	MN	GRANITE FALLS	56241-0216	15045 HIGHWAY 23 S.E.		US	MN	411997390	GRANITE FALLS COMMUNITY ETHANOL PLANT LLC	20020821	4-NON	0	1031	10-K	20161031	2016	FY	20170130	2017-01-30 15:42:00.0	0	1	c749-20161031.xml	1	
0001637655-17-000010	1637655	HORIZON GLOBAL CORP	3714	US	MI	TROY	48084	2600 WEST BIG BEAVER ROAD	SUITE 555	2485938820	US	MI	TROY	48084	2600 WEST BIG BEAVER ROAD	SUITE 555	US	DE	000000000			2-ACC	0	1231	10-K	20161231	2016	FY	20170310	2017-03-10 12:38:00.0	0	1	hzn-20161231.xml	1	
0001549346-17-000007	1549346	SHUTTERSTOCK, INC.	7374	US	NY	NEW YORK	10118	350 FIFTH AVENUE	21ST FLOOR	646-419-4452	US	NY	NEW YORK	10118	350 FIFTH AVENUE	21ST FLOOR	US	DE	800812659			1-LAF	1	1231	10-K	20161231	2016	FY	20170227	2017-02-27 07:13:00.0	0	1	sstk-20161231.xml	1	
0000802481-17-000010	802481	PILGRIMS PRIDE CORP	2015	US	CO	GREELEY	80634	1770 PROMONTORY CIRCLE		9705068000	US	CO	GREELEY	80634	1770 PROMONTORY CIRCLE		US	DE	751285071			1-LAF	1	1231	10-K	20161231	2016	FY	20170209	2017-02-09 06:11:00.0	0	1	ppc-20161225.xml	1	
0001551182-17-000014	1551182	EATON CORP PLC	3590	IE		DUBLIN	DUBLIN 4	30 PEMBROKE ROAD	EATON HOUSE	353 1637 2900	IE		DUBLIN	DUBLIN 4	30 PEMBROKE ROAD	EATON HOUSE			981059235	EATON CORP LTD	20120530	1-LAF	1	1231	10-K	20161231	2016	FY	20170222	2017-02-22 16:04:00.0	0	1	etn-20161231.xml	1	
0001143155-17-000002	1143155	XENITH BANKSHARES, INC.	6021	US	VA	RICHMOND	23219	ONE JAMES CENTER	901 E. CARY STREET, SUITE 1700	(804) 433-2200	US	VA	RICHMOND	23219	ONE JAMES CENTER	901 E. CARY STREET, SUITE 1700	US	VA	542053718	HAMPTON ROADS BANKSHARES INC	20010619	5-SML	0	1231	10-K	20161231	2016	FY	20170314	2017-03-14 16:43:00.0	0	1	xbks-20161231.xml	1	
0001564590-17-005547	1382911	OREXIGEN THERAPEUTICS, INC.	2834	US	CA	LA JOLLA	92037	3344 N. TORREY PINES CT.	SUITE 200	(858) 875-8600	US	CA	LA JOLLA	92037	3344 N. TORREY PINES CT.	SUITE 200	US	DE	651178822			5-SML	0	1231	10-K	20161231	2016	FY	20170330	2017-03-29 18:48:00.0	0	1	orex-20161231.xml	1	
0000055785-17-000017	55785	KIMBERLY CLARK CORP	2670	US	TX	IRVING	75038	351 PHELPS DRIVE		9722811200	US	TX	DALLAS	75261-9100	P O BOX 619100	DFW AIRPORT STATION	US	DE	390394230			1-LAF	1	1231	10-K	20161231	2016	FY	20170208	2017-02-08 12:06:00.0	0	1	kmb-20161231.xml	1	
0001564590-17-004636	1579298	BURLINGTON STORES, INC.	5311	US	NJ	FLORENCE	08518	2006 ROUTE 130 NORTH		(609) 387-7800	US	NJ	FLORENCE	08518	2006 ROUTE 130 NORTH		US	DE	800895227	BURLINGTON HOLDINGS, INC.	20130613	1-LAF	1	0131	10-K	20170131	2016	FY	20170316	2017-03-16 16:24:00.0	0	1	burl-20170128.xml	1	
