adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000851310-14-000042	851310	HARMONIC INC	3663	US	CA	SAN JOSE	95134	4300 NORTH FIRST STREET		4084906242	US	CA	SAN JOSE	95134	4300 NORTH FIRST STREET		US	DE	770201147	HARMONIC LIGHTWAVES INC	19950404	2-ACC	0	1231	10-Q	20140930	2014	Q3	20141103	2014-11-03 17:01:00.0	0	1	hlit-20140926.xml	1	
0000011199-14-000029	11199	BEMIS CO INC	2670	US	WI	NEENAH	54957-0669	ONE NEENAH CENTER, 4TH FLOOR	P.O. BOX 669	(920) 727-4100	US	WI	NEENAH	54957-0669	ONE NEENAH CENTER, 4TH FLOOR	P.O. BOX 669	US	MO	430178130			1-LAF	0	1231	10-Q	20140930	2014	Q3	20141031	2014-10-31 10:33:00.0	0	1	bms-20140930.xml	1	
0001144204-14-061152	860518	ITEX CORP	7389	US	WA	BELLEVUE	98008-6418	3326 160TH AVE SE	SUITE 100	425-463-4000	US	WA	BELLEVUE	98008-6418	3326 160TH AVE SE	SUITE 100	US	NV	930922994	ITEX CORPORATION	19930328	5-SML	0	0731	10-K	20140731	2014	FY	20141015	2014-10-15 06:03:00.0	0	1	itex-20140731.xml	1	
0001131096-14-000060	1131096	ATHENAHEALTH INC	7389	US	MA	WATERTOWN	02472	311 ARSENAL STREET		617-402-1000	US	MA	WATERTOWN	02472	311 ARSENAL STREET		US	DE	043387530			1-LAF	0	1231	10-Q	20140930	2014	Q3	20141017	2014-10-17 15:51:00.0	0	1	athn-20140930.xml	1	
0000097476-14-000034	97476	TEXAS INSTRUMENTS INC	3674	US	TX	DALLAS	75266	P.O. BOX 660199		9729953773	US	TX	DALLAS	75266	12500 TI BLVD	PO BOX 660199	US	DE	750289970			1-LAF	1	1231	10-Q	20140930	2014	Q3	20141031	2014-10-31 10:12:00.0	0	1	txn-20140930.xml	1	
0001469822-14-000077	1469822	KBS LEGACY PARTNERS APARTMENT REIT, INC.	6798	US	CA	NEWPORT BEACH	92660	620 NEWPORT CENTER DRIVE, SUITE 1300		949-417-6500	US	CA	NEWPORT BEACH	92660	620 NEWPORT CENTER DRIVE, SUITE 1300		US	MD	270668930	KBS LEGACY APARTMENT COMMUNITY REIT, INC.	20090806	5-SML	0	1231	10-Q	20140930	2014	Q3	20141113	2014-11-13 16:36:00.0	0	1	kbslegacy-20140930.xml	1	
0001019687-14-004300	1355848	GENIUS BRANDS INTERNATIONAL, INC.	7812	US	CA	BEVERLY HILLS	90212	9401 WILSHIRE BOULEVARD	SUITE 608	(310) 273-4222	US	CA	BEVERLY HILLS	90212	9401 WILSHIRE BOULEVARD	SUITE 608	US	NV	204118216	PACIFIC ENTERTAINMENT CORP	20060310	5-SML	0	1231	10-Q	20140930	2014	Q3	20141114	2014-11-14 16:14:00.0	0	1	gnus-20140930.xml	1	
0000726601-14-000026	726601	CAPITAL CITY BANK GROUP INC	6022	US	FL	TALLAHASSEE	32301	217 N MONROE ST		8506710300	US	FL	TALLAHASSEE	32302-3248	PO BOX 11248		US	FL	592273542			2-ACC	0	1231	10-Q	20140930	2014	Q3	20141106	2014-11-06 16:55:00.0	0	1	ccbg-20140930.xml	1	
0001571049-14-005622	1318742	NCL CORP LTD.	4400	US	FL	MIAMI	33126	7665 CORPORATE CENTER DRIVE		(305) 436-4000	US	FL	MIAMI	33126	7665 CORPORATE CENTER DRIVE		BM		200470163			4-NON	0	1231	10-Q	20140930	2014	Q3	20141031	2014-10-31 10:26:00.0	0	1	nclc-20140930.xml	1	
0001571049-14-005986	1511198	FIRST CONNECTICUT BANCORP, INC.	6036	US	CT	FARMINGTON	06032	ONE FARM GLEN BOULEVARD		860-676-4600	US	CT	FARMINGTON	06032	ONE FARM GLEN BOULEVARD		US	MD	000000000			2-ACC	0	1231	10-Q	20140930	2014	Q3	20141107	2014-11-07 16:39:00.0	0	1	fbnk-20140930.xml	1	
0001104659-14-078217	1060523	CARDINAL FINANCIAL CORP	6021	US	VA	MCLEAN	22102	8270 GREENSBORO DRIVE	SUITE 500	7035843400	US	VA	MCLEAN	22102	8270 GREENSBORO DRIVE	SUITE 500	US	VA	541874630			2-ACC	0	1231	10-Q	20140930	2014	Q3	20141107	2014-11-07 12:47:00.0	0	1	cfnl-20140930.xml	1	
0001104659-14-085907	878079	BON TON STORES INC	5311	US	PA	YORK	17402-2406	2801 E MARKET ST		7177577660	US	PA	YORK	17405-2821	P O BOX 2821		US	PA	232835229			2-ACC	0	0131	10-Q	20141031	2014	Q3	20141210	2014-12-10 14:34:00.0	0	1	bont-20141101.xml	1	
0001262463-14-001106	1576575	GAMING ENTERTAINMENT INTERNATIONAL, INC.	7011	US	NV	LAS VEGAS	89135	11700 WEST CHARLESTON AVENUE #170		702-755-3745	US	NV	LAS VEGAS	89135	11700 WEST CHARLESTON AVENUE #170		US	NV	461738980			5-SML	0	1231	10-Q	20140930	2014	Q3	20141119	2014-11-18 19:10:00.0	0	1	gaei-20140930.xml	1	
0001062993-14-006873	1582919	CATACA RESOURCES, INC.	1000	PH		MAKATI CITY	2130	782 AYALA AVENUE		(63) 917-234-0098	PH		MAKATI CITY	2130	782 AYALA AVENUE		US	NV	000000000			5-SML	0	1231	10-Q/A	20140930	2014	Q3	20141124	2014-11-24 12:35:00.0	0	1	cik0001582919-20140930.xml	1	
0001564590-14-005294	933136	WMI HOLDINGS CORP.	6035	US	WA	SEATTLE	98101	1201 THIRD AVENUE	SUITE 3000	206-461-2000	US	WA	SEATTLE	98101	1201 THIRD AVENUE	SUITE 3000	US	WA	911653725	WASHINGTON MUTUAL, INC	20061017	2-ACC	0	1231	10-Q	20140930	2014	Q3	20141107	2014-11-07 16:31:00.0	0	1	wmih-20140930.xml	1	
0001211524-14-000116	1479681	IGAMBIT, INC.	7389	US	NY	SMITHTOWN	11788	1050 W JERICHO TURNPIKE	SUITE A	631-670-6777	US	NY	SMITHTOWN	11788	1050 W JERICHO TURNPIKE	SUITE A	US	DE	113363609			5-SML	0	1231	10-Q	20140930	2014	Q3	20141112	2014-11-12 12:04:00.0	0	1	igam-20140930.xml	1	
0001065949-14-000293	1081938	CANNAPHARMARX, INC.	6770	US	NJ	CARNEYS POINT	08069	ONE COLLINS DRIVE		720-939-1133	US	NJ	CARNEYS POINT	08069	ONE COLLINS DRIVE		US	DE	274635140	GOLDEN DRAGON HOLDING CO.	20110125	5-SML	0	1231	10-Q	20140930	2014	Q3	20141119	2014-11-19 16:11:00.0	0	1	gdhc-20140930.xml	1	
0001144204-14-068563	1416876	FIRST CHOICE HEALTHCARE SOLUTIONS, INC.	8071	US	FL	MELBOURNE	32901	709 S. HARBOR CITY BLVD.	SUITE 250	(321) 725-0090	US	FL	MELBOURNE	32901	709 S. HARBOR CITY BLVD.	SUITE 250	US	DE	900687379	MEDICAL BILLING ASSISTANCE, INC.	20110107	5-SML	0	1231	10-Q	20140930	2014	Q3	20141114	2014-11-14 14:40:00.0	0	1	fchs-20140930.xml	1	
0001144204-14-069811	1100542	ALAMOGORDO FINANCIAL CORP	6035	US	NM	ALAMOGORDO	88310	500 10TH ST			US	NM	ALAMOGORDO	88310	500 10TH STREET				742819148			5-SML	0	0630	10-Q	20140930	2015	Q1	20141119	2014-11-19 17:00:00.0	0	1	almg-20140930.xml	1	
0001582244-14-000080	1582244	CORNING NATURAL GAS HOLDING CORP	4923	US	NY	CORNING	14830	330 WEST WILLIAM STREET		(607) 936-3755	US	NY	CORNING	14830	330 WEST WILLIAM STREET		US	NY	463235589			5-SML	0	0930	10-K	20140930	2014	FY	20141223	2014-12-23 10:40:00.0	0	1	cnig-20140930.xml	1	
