adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001102934-11-000008	1102934	CABOT MICROELECTRONICS CORP	3674	US	IL	AURORA	60504	870 NORTH COMMONS DRIVE		6303755461	US	IL	AURORA	60504	870 N COMMONS DR		US	DE	364324765			1-LAF	1	0930	10-Q	20101231	2011	Q1	20110208	2011-02-08 16:16:00.0	0	0	ccmp-20101231.xml	1	
0001144204-11-001011	1003078	MSC INDUSTRIAL DIRECT CO INC	5084	US	NY	MELVILLE	11747	75 MAXESS RD		516-812-2000	US	NY	MELVILLE	11747	75 MAXESS ROAD		US	NY	113289165			1-LAF	0	0831	10-Q	20101130	2011	Q1	20110106	2011-01-06 15:07:00.0	0	0	msm-20101127.xml	1	
0001188112-11-000348	1056386	INTERNAP NETWORK SERVICES CORP	7370	US	GA	ATLANTA	30303	250 WILLIAMS STREET	SUITE E100	404-302-9700	US	GA	ATLANTA	30303	250 WILLIAMS STREET	SUITE E100	US	DE	912145721	INTERNAP NETWORK SERVICES CORP/WA	19990721	2-ACC	0	1231	10-K	20101231	2010	FY	20110224	2011-02-24 17:11:00.0	0	0	inap-20101231.xml	1	
0001047469-11-000972	1274057	HOSPIRA INC	2834	US	IL	LAKE FOREST	60045	275 FIELD DR		8479376472							US	DE	000000000			1-LAF	1	1231	10-K	20101231	2010	FY	20110216	2011-02-16 11:02:00.0	0	1	hsp-20101231.xml	1	
0001047469-11-001529	947484	ARCH CAPITAL GROUP LTD.	6331	BM		HAMILTON	HM 12	WESSEX HOUSE	45 REID STREET	441-278-9250	BM		HAMILTON	HM 12	WESSEX HOUSE	45 REID STREET			000000000	ARCH CAPITAL GROUP LTD	20000508	1-LAF	1	1231	10-K	20101231	2010	FY	20110228	2011-02-28 15:29:00.0	0	0	acgl-20101231.xml	1	
0000950123-11-030493	1144215	ACUITY BRANDS INC	3640	US	GA	ATLANTA	30309-7676	1170 PEACHTREE STREET, NE	SUITE 2400	404-853-1400	US	GA	ATLANTA	30309-7676	1170 PEACHTREE STREET, NE	SUITE 2400	US	DE	582632672	L&C SPINCO INC	20010629	1-LAF	1	0831	10-Q	20110228	2011	Q2	20110330	2011-03-30 09:04:00.0	0	0	ayi-20110228.xml	1	
0000950123-11-018967	8818	AVERY DENNISON CORPORATION	2670	US	CA	PASADENA	91103	150 N ORANGE GROVE BLVD		6263042000	US	CA	PASADENA	91103	150 N ORANGE GROVE BLVD		US	DE	951492269	AVERY INTERNATIONAL CORP	19901030	1-LAF	1	1231	10-K	20101231	2010	FY	20110228	2011-02-25 18:06:00.0	0	0	avy-20110101.xml	1	
0000950123-11-020483	1429775	LENDER PROCESSING SERVICES, INC.	7389	US	FL	JACKSONVILLE	32204	601 RIVERSIDE AVENUE		904-854-5100	US	FL	JACKSONVILLE	32204	601 RIVERSIDE AVENUE		US	DE	261547801			1-LAF	1	1231	10-K	20101231	2010	FY	20110301	2011-03-01 14:18:00.0	0	0	lps-20101231.xml	1	
0000950123-11-017232	1317630	ITC HOLDINGS CORP.	4911	US	MI	NOVI	48377	27175 ENERGY WAY		248-946-3000	US	MI	NOVI	48377	27175 ENERGY WAY		US	MI	320058047			1-LAF	1	1231	10-K	20101231	2010	FY	20110223	2011-02-23 17:32:00.0	0	0	itc-20101231.xml	1	
0001193125-11-050016	750577	HANCOCK HOLDING CO	6022	US	MS	GULFPORT	39501	ONE HANCOCK PLZ	P.O. BOX 4019	6018684605	US	MS	GULFPORT	39501	ONE HANCOCK PLZ	P O BOX 4019	US	MS	640693170			1-LAF	1	1231	10-K	20101231	2010	FY	20110228	2011-02-28 16:35:00.0	0	0	hbhc-20101231.xml	1	
0001193125-11-048718	1104188	SOHU COM INC	7374	CN		BEIJING	100084	LEVEL 12, SOHU.COM INTERNET PLAZA	NO. 1 UNIT ZHONGGUANCUN EAST ROAD	011861062726666	US	MA	BOSTON	02110	C/O GOULSTON & STORRS, TIMOTHY BANCROFT	400 ATLANTIC AVENUE	US	DE	980204667			1-LAF	1	1231	10-K	20101231	2010	FY	20110228	2011-02-28 08:34:00.0	0	0	sohu-20101231.xml	1	
0001193125-11-049662	352541	ALLIANT ENERGY CORP	4931	US	WI	MADISON	53718-2148	4902 NORTH BILTMORE LANE	SUITE 1000	608-458-3311	US	WI	MADISON	53718-2148	4902 NORTH BILTMORE LANE	SUITE 1000	US	WI	391380265	INTERSTATE ENERGY CORP	19980427	1-LAF	1	1231	10-K	20101231	2010	FY	20110228	2011-02-28 15:15:00.0	0	0	lnt-20101231.xml	3	52485 107832
0001193125-11-025954	712515	ELECTRONIC ARTS INC.	7372	US	CA	REDWOOD CITY	94065	209 REDWOOD SHORES PARKWAY		650-628-1500	US	CA	REDWOOD CITY	94065	209 REDWOOD SHORES PARKWAY		US	DE	942838567	ELECTRONIC ARTS INC	19920703	1-LAF	0	0331	10-Q	20101231	2010	Q3	20110207	2011-02-07 17:26:00.0	0	1	erts-20101231.xml	1	
0001193125-11-030687	1098277	WEBSENSE INC	7389	US	CA	SAN DIEGO	92121	10240 SORRENTO VALLEY RD		8583208000	US	CA	SAN DIEGO	92121	10240 SORRENTO VALLEY RD		US	DE	510380839			1-LAF	1	1231	10-K	20101231	2010	FY	20110210	2011-02-10 16:24:00.0	0	0	wbsn-20101231.xml	1	
0001193125-11-040023	29915	DOW CHEMICAL CO /DE/	2821	US	MI	MIDLAND	48674-2030	2030 DOW CENTER		989-636-1000	US	MI	MIDLAND	48674-2030	2030 DOW CENTER		US	DE	381285128			1-LAF	1	1231	10-K	20101231	2010	FY	20110218	2011-02-18 12:10:00.0	0	1	dow-20101231.xml	1	
0001104659-11-017950	756894	BARRICK GOLD CORP	1040	CA	ON	TORONTO ONTARIO CANA	M5J2S1	BCE PLACE, CANADA TRUST TOWER	161 BAY STREET SUITE 3700	4163077470	CA	ON	ONTARIO M5J2S1	M5J2S1	BCE PLACE, CANADA TRUST TOWER	P O BOX 212 TORONTO			000000000	BARRICK RESOURCES CORP	19860109		0	1231	40-F	20101231	2010	FY	20110331	2011-03-31 15:55:00.0	1	1	abx-20101231.xml	1	
0001104659-11-000494	764478	BEST BUY CO INC	5731	US	MN	RICHFIELD	55423	7601 PENN AVE SOUTH		6122911000	US	MN	RICHFIELD	55423	7601 PENN AVE SOUTH		US	MN	410907483	BEST BUYS CO INC	19900809	1-LAF	0	0228	10-Q	20101130	2010	Q3	20110105	2011-01-05 16:06:00.0	0	1	bby-20101127.xml	1	
0001451505-11-000032	1451505	TRANSOCEAN LTD.	1381	CH		VERNIER	1214	BLANDONNET INTERNATIONAL BUSINESS CENTER	BLDG F, 7TH FLOOR, CHEMIN DE BLANDONNET	41-58-792-9243	CH		VERNIER	1214	BLANDONNET INTERNATIONAL BUSINESS CENTER	BLDG F, 7TH FLOOR, CHEMIN DE BLANDONNET	CH		980599916			1-LAF	1	1231	10-K	20101231	2010	FY	20110228	2011-02-28 12:10:00.0	0	1	rig-20101231.xml	1	
