adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001193125-18-020970	72205	NOBILITY HOMES INC	2451	US	FL	OCALA	34474	3741 S W 7TH ST		3527325157	US	FL	OCALA	34474	3741 SW 7TH STREET		US	FL	591166102			5-SML	0	1031	10-K	20171031	2017	FY	20180126	2018-01-26 12:13:00.0	0	1	nobh-20171104.xml	1	
0001012477-18-000008	1012477	AVADEL PHARMACEUTICALS PLC	2834	IE		DUBLIN	15	BLOCK 10-1 BLANCHARDSTOWN CORPORATE PARK	BALLYCOOLIN	636-449-1830	US	MO	CHESTERFIELD	63005	16640 CHESTERFIELD GROVE ROAD	SUITE 200			000000000	FLAMEL TECHNOLOGIES SA	19960422	2-ACC	0	1231	10-K	20171231	2017	FY	20180316	2018-03-16 17:22:00.0	0	1	avdl-20171231.xml	1	
0000700564-18-000010	700564	FULTON FINANCIAL CORP	6021	US	PA	LANCASTER	17604	ONE PENN SQ	PO BOX 4887	7172912411	US	PA	LANCASTER	17604	ONE PENN SQ	PO BOX 4887	US	PA	232195389			1-LAF	1	1231	10-K	20171231	2017	FY	20180301	2018-03-01 15:07:00.0	0	1	fult-20171231.xml	1	
0001104659-18-007234	868857	AECOM	8711	US	CA	LOS ANGELES	90067	1999 AVENUE OF THE STARS	SUITE 2600	2135938501	US	CA	LOS ANGELES	90067	1999 AVENUE OF THE STARS	SUITE 2600	US	DE	611088522	AECOM TECHNOLOGY CORP	19901017	1-LAF	0	0930	10-Q	20171231	2018	Q1	20180207	2018-02-07 16:18:00.0	0	1	acm-20171231.xml	1	
0001683168-18-000313	1311735	FBEC WORLDWIDE INC.	2080	US	CA	BEVERLY HILLS	90210	9732 SANTA MONICA BLVD.		(800) 785-4089	US	CA	BEVERLY HILLS	90210	9732 SANTA MONICA BLVD.		US	WY	061678089	FRONTIER BEVERAGE COMPANY, INC	20100305	5-SML	0	1231	10-Q	20170930	2017	Q3	20180205	2018-02-05 17:02:00.0	0	1	fbec-20170930.xml	1	
0001387131-18-000116	355948	RICHARDSON ELECTRONICS LTD/DE	5065	US	IL	LAFOX	60147	40W267 KESLINGER RD	PO BOX 393	630 208-2200	US	IL	LAFOX	60147	40W267 KESLINGER ROAD	P.O. BOX 393	US	DE	362096643			2-ACC	0	0531	10-Q	20171130	2018	Q2	20180111	2018-01-11 15:18:00.0	0	1	rell-20171202.xml	1	
0001601548-18-000008	1601548	VECTRUS, INC.	8744	US	CO	COLORADO SPRINGS	80915	655 SPACE CENTER DRIVE		719-591-3600	US	CO	COLORADO SPRINGS	80915	655 SPACE CENTER DRIVE		US	IN	383924636	EXELIS MSCO INC.	20140303	2-ACC	0	1231	10-K	20171231	2017	FY	20180301	2018-03-01 16:09:00.0	0	1	vec-20171231.xml	1	
0001437749-18-005244	811212	CESCA THERAPEUTICS INC.	3821	US	CA	RANCHO CORDOVA	95742	2711 CITRUS ROAD		9168585100	US	CA	RANCHO CORDOVA	95742	2711 CITRUS ROAD		US	DE	943018487	THERMOGENESIS CORP	19951117	5-SML	0	1231	10-KT	20171231	2017	FY	20180322	2018-03-22 16:40:00.0	0	1	kool-20171231.xml	1	
0000320335-18-000006	320335	TORCHMARK CORP	6311	US	TX	MCKINNEY	75070	3700 SOUTH STONEBRIDGE DRIVE		972-569-4000	US	TX	MCKINNEY	75070	3700 SOUTH STONEBRIDGE DRIVE		US	DE	630780404	TORCHMARK CORP SAVINGS & INVESTMENT PLAN	19820825	1-LAF	1	1231	10-K	20171231	2017	FY	20180227	2018-02-27 17:02:00.0	0	1	tmk-20171231.xml	1	
0001163302-18-000011	1163302	UNITED STATES STEEL CORP	3312	US	PA	PITTSBURGH	15219-2800	600 GRANT ST	ROOM 1500	415 433 2967	US		PITTSBURGH	15219-2800	600 GRANT STREET		US	DE	251897152	UNITED STATES STEEL LLC	20011205	1-LAF	1	1231	10-K	20171231	2017	FY	20180221	2018-02-21 12:22:00.0	0	1	x-20171231.xml	1	
0001171843-18-001546	887151	CAPSTONE THERAPEUTICS CORP.	2834	US	AZ	TEMPE	85281	1275 WEST WASHINGTON STREET	SUITE 101	6022865520	US	AZ	TEMPE	85281	1275 WEST WASHINGTON STREET	SUITE 101	US	DE	860585310	ORTHOLOGIC CORP	19940211	5-SML	0	1231	10-K	20171231	2017	FY	20180228	2018-02-28 16:01:00.0	0	1	caps-20171231.xml	1	
0001206774-18-000727	54187	MAYS J W INC	6512	US	NY	BROOKLYN	11201-5805	9 BOND ST		7186247400	US	NY	BROOKLYN	11201-5805	9 BOND STREET		US	NY	111059070			5-SML	0	0731	10-Q	20180131	2018	Q2	20180308	2018-03-08 08:01:00.0	0	1	mays-20180131.xml	1	
0001281774-18-000008	1281774	TOWN SPORTS INTERNATIONAL HOLDINGS INC	7997	US	FL	JUPITER	33477	1001 US NORTH HIGHWAY 1	SUITE 201	(212) 246-6700	US	NY	ELMSFORD	10523	399 EXECUTIVE BOULEVARD		US	DE	200640002			5-SML	0	1231	10-K	20171231	2017	FY	20180228	2018-02-28 16:12:00.0	0	1	club-20171231.xml	1	
0001493152-18-002948	771999	DOCUMENT SECURITY SYSTEMS INC	2650	US	NY	ROCHESTER	14623	200 CANAL VIEW BOULEVARD	SUITE 300	585 232 1500	US	NY	ROCHESTER	14623	200 CANAL VIEW BOULEVARD	SUITE 300	US	NY	161229730	NEW SKY COMMUNICATIONS INC	19920703	5-SML	0	1231	10-K	20171231	2017	FY	20180306	2018-03-06 16:02:00.0	0	1	dss-20171231.xml	1	
0001279569-18-000399	1468079	ADVANTAGE OIL & GAS LTD.	1311	CA	AB	CALGARY	T2P 5E9	300, 440 - 2 AVENUE SW		(403) 718-8000	CA	AB	CALGARY	T2P 5E9	300, 440 - 2 AVENUE SW		CA	AB	000000000				0	1231	40-F	20171231	2017	FY	20180307	2018-03-07 13:54:00.0	0	1	aav-20171231.xml	1	
0001185185-18-000404	719209	ISRAMCO INC	1311	US	TX	HOUSTON	77027	2425 WEST LOOP SOUTH	STE 810	7136213882	US	TX	HOUSTON	77027	2425 WEST LOOP SOUTH	SUITE 810	US	DE	133145265			2-ACC	0	1231	10-K	20171231	2017	FY	20180313	2018-03-13 13:11:00.0	0	1	isrl-20171231.xml	1	
0001615774-18-000221	1716947	LEISURE ACQUISITION CORP.	6770	US	NY	NEW YORK	10107	250 WEST 57TH ST.	SUITE 2223	(646) 565-6940	US	NY	NEW YORK	10107	250 WEST 57TH ST.	SUITE 2223	US	DE	822755287			4-NON	0	1231	10-Q	20170930	2017	Q3	20180109	2018-01-09 16:42:00.0	0	1	lacqu-20170930.xml	1	
0001175454-18-000007	1175454	FLEETCOR TECHNOLOGIES INC	7389	US	GA	NORCROSS	30092	5445 TRIANGLE PARKWAY	SUITE 400	800-877-9019	US	GA	NORCROSS	30092	5445 TRIANGLE PARKWAY	SUITE 400	US	DE	000000000			1-LAF	1	1231	10-K	20171231	2017	FY	20180301	2018-03-01 16:46:00.0	0	1	flt-20171231.xml	1	
