adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0001255294-11-000600	1084597	XZERES CORP.	3510	US	OR	WILSONVILLE	97070	9025 SW HILLMAN COURT, SUITE 3126		503-388-7350	US	OR	WILSONVILLE	97070	9025 SW HILLMAN COURT, SUITE 3126		US	NV	742329327	XZERES WIND CORP.	20100512	5-SML	0	0228	10-Q	20110831	2011	Q2	20111014	2011-10-14 17:17:00.0	0	0	xpwr-20110831.xml	1	
0000950123-11-103874	794170	TOLL BROTHERS INC	1531	US	PA	HORSHAM	19044	250 GIBRALTAR ROAD		2159388000	US	PA	HORSHAM	19044	250 GIBRALTAR ROAD		US	DE	232416878			1-LAF	1	1031	10-K	20111031	2011	FY	20111222	2011-12-22 16:41:00.0	0	1	tol-20111031.xml	1	
0000950123-11-100194	1005210	SUBURBAN PROPANE PARTNERS LP	5900	US	NJ	WIPPANY	07981	P O BOX 206	240 ROUTE 10 WEST	9738875300	US	NJ	WHIPPANY	07981	ONE SUBURBAN PLZ	240 RTE 10 WEST	US	DE	223410353			1-LAF	1	0930	10-K	20110930	2011	FY	20111123	2011-11-23 13:06:00.0	0	1	sph-20110924.xml	1	
0000950123-11-098301	1024478	ROCKWELL AUTOMATION INC	3829	US	WI	MILWAUKEE	53204	1201 SOUTH 2ND STREET		414-382-2000	US	WI	MILWAUKEE	53204	1201 SOUTH 2ND STREET		US	DE	251797617	ROCKWELL  AUTOMATION INC	20020507	1-LAF	1	0930	10-K	20110930	2011	FY	20111114	2011-11-14 13:44:00.0	0	1	rok-20110930.xml	1	
0000908255-11-000064	908255	BORGWARNER INC	3714	US	MI	AUBURN HILLS	48326	3850 HAMLIN RD.		2487549200	US	MI	AUBURN HILLS	48326	3850 HAMLIN RD.		US	DE	133404508	BORG WARNER AUTOMOTIVE INC	19930628	1-LAF	1	1231	10-Q	20110930	2011	Q3	20111028	2011-10-28 11:47:00.0	0	1	bwa-20110930.xml	1	
0000950123-11-097509	1329842	FEDERAL HOME LOAN BANK OF NEW YORK	6111	US	NY	NEW YORK	10178	101 PARK AVENUE, 5TH FLOOR		212-681-6000	US	NY	NEW YORK	10178	101 PARK AVENUE, 5TH FLOOR		US		136400946			4-NON	1	1231	10-Q	20110930	2011	Q3	20111110	2011-11-10 15:32:00.0	0	0	fhlbny-20110930.xml	1	
0001144204-11-056314	62234	MARCUS CORP	7011	US	WI	MILWAUKEE	53202-4125	100 EAST WISCONSIN AVENUE	SUITE 1900	4142726020	US	WI	MILWAUKEE	53202-4125	100 EAST WISCONSIN AVENUE	SUITE 1900	US	WI	391139844			2-ACC	0	0531	10-Q	20110831	2012	Q1	20111004	2011-10-04 16:39:00.0	0	0	mcs-20110825.xml	1	
0001193125-11-310010	1229146	SURREY BANCORP	6022	US	NC	MOUNT AIRY	27030	199 NORTH RENFRO STREET		3367833911	US	NC	MOUNT AIRY	27030	199 NORTH RENFRO STREET		US	NC	593772016			5-SML	0	1231	10-Q	20110930	2011	Q3	20111114	2011-11-14 12:42:00.0	0	0	sryb-20110930.xml	1	
0001193125-11-310733	1168990	SUPERFUND GREEN, L.P.	6221	GD		ST. GEORGE'S	00000	LE MARQUIS COMPLEX UNIT 5	PO BOX 1479 GRAND ANSE	3129866960	GD		ST. GEORGE'S	00000	LE MARQUIS COMPLEX UNIT 5	PO BOX 1479 GRAND ANSE	GD		000000000	QUADRIGA SUPERFUND	20020312	5-SML	0	1231	10-Q	20110930	2011	Q3	20111114	2011-11-14 15:45:00.0	0	0	sfgrlp-20110930.xml	1	
0001193125-11-311369	315858	BFC FINANCIAL CORP	6035	US	FL	FORT LAUDERDALE	33309	2100 WEST CYPRESS CREEK ROAD		9549404900	US	FL	FORT LAUDERDALE	33310-5403	P.O. BOX 5403		US	FL	592022148	BANKATLANTIC FINANCIAL CORP	19920316	5-SML	0	1231	10-Q	20110930	2011	Q3	20111114	2011-11-14 17:10:00.0	0	0	bfcf-20110930.xml	1	
0001077048-11-000331	1424415	ELEVATE, INC.	7389	US	CA	SAN CLEMENTE	92673	180 AVENIDA LA PATA, SUITE 200		949-276-5428	US	CA	SAN CLEMENTE	92673	180 AVENIDA LA PATA, SUITE 200		US	NV	261607874	HIGHLAND BUSINESS SERVICES, INC.	20080118	5-SML	0	0531	10-Q/A	20110831	2012	Q1	20111027	2011-10-27 16:42:00.0	0	0	hglb-20110831.xml	1	
0000086521-11-000092	1032208	SEMPRA ENERGY	4932	US	CA	SAN DIEGO	92101	101 ASH STREET	P O BOX 129400	6196962000	US	CA	SAN DIEGO	92101	101 ASH STREET	P O BOX 129400	US	CA	330732627	MINERAL ENERGY CO	19970205	1-LAF	0	1231	10-Q	20110930	2011	Q3	20111103	2011-11-03 15:29:00.0	0	1	sre-20110930.xml	3	86521 92108
0001062993-11-004644	1069489	WESCORP ENERGY INC	1389	CA	AB	CALGARY	T2P3A8	SUITE 770	435 - 4TH AVE SW	(403) 206-3990	CA	AB	CALGARY	T2P3A8	SUITE 770	435 - 4TH AVE SW	US	DE	980447716	CTI DIVERSIFIED HOLDINGS INC	20010223	5-SML	0	1231	10-Q	20110930	2011	Q3	20111121	2011-11-21 16:01:00.0	0	0	wsce-20110930.xml	1	
0001104659-11-063488	67279	MOCON INC	3829	US	MN	MINNEAPOLIS	55428	7500 MENDELSSOHN AVE N		6124936370	US	MN	MINNEAPOLIS	55428	7500 MENDELSSOHN AVE N		US	MN	410903312	MODERN CONTROLS INC	19920703	5-SML	0	1231	10-Q	20110930	2011	Q3	20111114	2011-11-14 07:31:00.0	0	0	moco-20110930.xml	1	
0001052918-11-000719	1183082	GENESIS FINANCIAL INC	6199	US	ID	POST FALLS	83854	3773 WEST 5TH AVENUE, SUITE 301		208-457-9442	US	ID	POST FALLS	83854	3773 WEST 5TH AVENUE, SUITE 301		US	WA	030377717			5-SML	0	1231	10-Q/A	20110930	2011	Q3	20111223	2011-12-22 19:25:00.0	0	0	gfnl-20110930.xml	1	
0001372167-11-000041	1347870	MONZA VENTURES INC.	5961	CN		CHANG CHUN	130012	1018 HUGUANG RD.		011-86-43185918321	CN		CHANG CHUN	130012	1018 HUGUANG RD.		US	NV	000000000			4-NON	0	1130	10-Q	20110831	2011	Q3	20111021	2011-10-20 18:50:00.0	0	0	mzav-20110831.xml	1	
0001144204-11-065818	1368745	YANGLIN SOYBEAN, INC.	2070	CN		HEILONGJIANG,	00000	NO. 99 FANRONG STREET,	JIXIAN TOWN,	011-86-469 467 8077	CN		HEILONGJIANG,	00000	NO. 99 FANRONG STREET,	JIXIAN TOWN,	US	NV	204136884	VICTORY DIVIDE MINING CO	20060712	5-SML	0	1231	10-Q	20110930	2011	Q3	20111118	2011-11-18 16:02:00.0	0	0	ysyb-20110930.xml	1	
0001144204-11-061174	1487101	KEYW HOLDING CORP	7373	US	MD	HANOVER	21076	1334 ASHTON ROAD, SUITE A		443-270-5300	US	MD	HANOVER	21076	1334 ASHTON ROAD, SUITE A		US	MD	271594952			4-NON	0	1231	10-Q	20110930	2011	Q3	20111103	2011-11-03 16:31:00.0	0	0	keyw-20110930.xml	1	
0001157523-11-006630	849869	SILGAN HOLDINGS INC	3411	US	CT	STAMFORD	06901	4 LANDMARK SQ		2039757110	US	CT	STAMFORD	06901	4 LANDMARK SQUARE	SUITE 400	US	DE	061269834			1-LAF	0	1231	10-Q	20110930	2011	Q3	20111109	2011-11-09 09:33:00.0	0	1	slgn-20110930.xml	1	
0001104659-11-054742	1400400	DEMANDTEC, INC.	7372	US	CA	SAN MATEO	94403	ONE FRANKLIN PARKWAY, BUILDING 910		650-645-7100	US	CA	SAN MATEO	94403	ONE FRANKLIN PARKWAY, BUILDING 910		US	DE	943344761			2-ACC	0	0228	10-Q	20110831	2011	Q2	20111004	2011-10-04 14:48:00.0	0	0	dman-20110831.xml	1	
0001104659-11-057930	1315695	ROCKWOOD HOLDINGS, INC.	2800	US	NJ	PRINCETON	08540	100 OVERLOOK CENTER		609-514-0300	US	NJ	PRINCETON	08540	100 OVERLOOK CENTER		US	DE	522277366			1-LAF	0	1231	10-Q	20110930	2011	Q3	20111026	2011-10-26 12:31:00.0	0	1	roc-20110930.xml	1	
0001104659-11-059160	917273	RAMBUS INC	3674	US	CA	SUNNYVALE	94089	1050 ENTERPRISE WAY, SUITE 700		408-462-8000	US	CA	SUNNYVALE	94089	1050 ENTERPRISE WAY, SUITE 700		US	DE	943112828			1-LAF	0	1231	10-Q	20110930	2011	Q3	20111031	2011-10-31 15:24:00.0	0	1	rmbs-20110930.xml	1	
0001316625-11-000053	1316625	SILICON GRAPHICS INTERNATIONAL CORP	3571	US	CA	FREMONT	94538	46600 LANDING PARKWAY		510-933-8300	US	CA	FREMONT	94538	46600 LANDING PARKWAY		US	DE	320047154	RACKABLE SYSTEMS, INC.	20050203	2-ACC	0	0630	10-Q	20110930	2012	Q1	20111109	2011-11-09 17:20:00.0	0	0	sgi-20110930.xml	1	
0001517126-11-000290	1024626	CANNABIS SCIENCE, INC.	1311	US	CO	DENVER	80231	2422 S. TRENTON WAY	UNIT H	1-888-889-0888	US	CO	DENVER	80231	2422 S. TRENTON WAY	UNIT H	US	NV	911869677	GULF ONSHORE, INC.	20080520	5-SML	0	1231	10-Q	20110930	2011	Q3	20111121	2011-11-21 15:40:00.0	0	0	cbis-20110930.xml	1	
0001193125-11-290779	1138639	INFINERA CORP	3661	US	CA	SUNNYVALE	94089	140 CASPIAN COURT		408-572-5200	US	CA	SUNNYVALE	94089	140 CASPIAN COURT		US	DE	770560433	ZEPTON NETWORKS INC	20010418	2-ACC	0	1231	10-Q	20110930	2011	Q3	20111101	2011-11-01 16:33:00.0	0	0	infn-20110924.xml	1	
